obs YER PCR GCR ITR XTR MTR YED PCD GCD ITD XTD MTD YFD YIN WIN GON TIN YFN HICP HEX HEG HICPSYA HEXSYA HEGSYA HEGWEI CAN_YEN NFN_YEN LFN LNN UNN URX LEN STN LTN COMPR POILU PCOMU YWD YWDX YWR YWRX LPROD ULC WRN SAX EEN EXR
1995Q3 1425745.69345098 807247.168713482 283628.965836517 304960.343668156 390280.847805521 371568.120980243 1.004459876 1.00440999 1.003959878 1.00301174 1.003298483 1.00197416 0.90321996 1432104.34278053 696059.003682989 591702.964257972 144342.374839567 1287761.96794096 98.052729333 98.202868566 97.007340486 NA NA 51.54 NA 0.01804271 0.004589412 146991.939653562 130957.57156571 16034.368087852 0.109083315 109202.87478165 6.693333 8.513333 33.798786274 16.1967 101.885634647 1.002005259 1.101488066 100.43252308 30886.139048857 10.887081032 0.488206983 5.315148986 0.155780081 1.073803007 0.761949849
1995Q4 1429792.48713868 808131.216852165 285129.150863026 307929.253734706 397590.516643263 377986.306601599 1.011409302 1.010319823 1.011729919 1.006151441 1.007352964 0.99833536 0.909381584 1446105.42168959 702958.837981854 597268.119458975 145878.464248766 1300226.95744083 98.449893116 98.55349677 97.295940774 NA NA 51.693333333 NA 0.018409635 0.002396356 147397.237320102 131222.65479642 16174.582523682 0.109734638 109456.63906784 6.506667 8.153333 34.723307223 16.9867 101.482038383 1.007297591 1.099356515 100.958786068 30978.71622545 10.89592715 0.491650952 5.35699296 0.155076969 1.058375152 0.759097786
1996Q1 1431764.50829649 814636.108033842 284916.551944353 301036.77124502 404511.635329413 380231.244750276 1.013840055 1.014325558 1.015497682 1.008693116 1.006747847 1.005664927 0.909954792 1451580.20802752 705889.612514923 596951.36341623 148739.232096363 1302840.97593115 99.272255773 99.360866959 98.487985445 NA NA 52.326666667 90.4 0.019048768 0.001925366 147385.910642793 131267.62684343 16118.283799363 0.10936109 109406.6271098 5.63 7.643333 36.193975949 18.6333 97.984204095 1.011786026 1.100710337 101.764296241 31059.317687559 10.907217131 0.493020751 5.377484377 0.158527297 1.058337376 0.776800796
1996Q2 1441824.28082666 817171.343151048 286828.336299389 312545.052909391 406446.049849849 380923.903006508 1.0168763 1.018509455 1.021549716 1.008844879 1.003902593 1.003919578 0.914115323 1466156.9394859 710648.099407249 607345.569464426 148163.270614227 1317993.66887168 100.05723831 100.084840669 99.767864985 NA NA 53.006666667 90.4 0.021228101 0.003757066 147913.557197063 131579.70402918 16333.853167883 0.110428371 109689.65890311 5.136667 7.536667 36.995210797 19.4767 96.84801043 1.019731251 1.106251533 103.150967044 31341.083840641 10.95780152 0.492881212 5.400894497 0.154996983 1.064167467 0.797128857
1996Q3 1451124.6485749 822325.186326374 289105.232570054 314404.241323933 413563.242518538 385692.588692233 1.02074106 1.022589468 1.023256563 1.012701256 1.000135904 0.999536805 0.916027393 1481222.51207165 718330.833645254 610939.095027448 151952.58339895 1329269.9286727 100.155361127 100.193436726 99.774138905 NA NA 53.01 90.4 0.025204296 0.00622976 148252.211679626 131906.13319553 16346.078484096 0.110258581 109977.355696 5 7.276667 37.864041974 20.5433 94.746269609 1.022952765 1.096555625 103.808937243 31518.992954359 11.001191631 0.49501663 5.44577281 0.152627452 1.043307299 0.784802873
1996Q4 1457318.053531 823307.591071462 289511.570117467 314766.188342455 426047.706298564 396608.667171343 1.024498823 1.026803946 1.030600032 1.012334801 1.004342874 1.006750873 0.919717535 1493020.63033158 723270.193528682 617050.773780529 152699.66302237 1340320.96730921 100.51514479 100.360855646 101.970010666 NA NA 54.176666667 90.4 0.021178382 0.002014645 148422.741053633 132098.24437186 16324.496681773 0.109986492 110196.47615109 4.586667 6.473333 40.387458895 23.16 93.005469606 1.023874787 1.10035947 104.891615908 31726.372796417 11.032077379 0.496302226 5.475244557 0.14800697 1.050612164 0.792438036
1997Q1 1460627.82031951 826057.419285077 289839.293799814 312171.062598007 436770.606370932 405703.581704877 1.028157946 1.031884807 1.035881319 1.018188897 1.011704945 1.018077865 0.921332325 1501756.09992743 729447.658874994 616275.967085002 156032.473967436 1345723.62596 101.206677024 100.989807808 102.892276805 72.396666667 74.536666667 54.666666667 92.46 0.024790084 0.005582474 148744.760970881 132410.24103553 16334.519935351 0.109815766 110579.5382217 4.44 6.203333 39.916273695 21.17 103.346004883 1.02155343 1.115414029 105.628157801 31826.998560887 11.031078932 0.499406932 5.508997289 0.144873434 1.086799173 0.848198507
1997Q2 1479494.0028223 833174.204842097 291802.447271735 317917.044560966 452934.872793217 417922.750028178 1.032171798 1.034170522 1.03716831 1.020434534 1.016063052 1.019206519 0.924134628 1527091.98519155 734361.064010791 632890.576289244 159840.344891513 1367251.64030004 101.543098111 101.464915555 101.92609323 72.463333333 74.696666667 54.153333333 92.46 0.018296718 -0.004138602 149208.761876991 132772.26189151 16436.499985481 0.11015774 110879.55528101 4.326667 6.22 36.583513701 18.0533 105.530656502 1.025476932 1.126301835 106.696861625 32175.870386682 11.143095566 0.496359608 5.530982553 0.143312142 1.109985453 0.874508631
1997Q3 1490654.74979187 835157.936610128 292030.451910021 319172.091876721 469399.55896352 430005.410245557 1.036299406 1.042587922 1.040243923 1.024947509 1.02075149 1.029774503 0.927052566 1544764.63191559 740526.009295347 641389.302064757 162849.320555487 1381915.3113601 101.874846683 101.745455368 102.816989774 72.82 75.03 54.626666667 92.46 0.017632317 -0.005886924 149519.231584047 133218.41801011 16300.813573937 0.109021518 111280.53071905 4.323333 5.81 36.546115408 18.5233 101.280424399 1.035354427 1.142909147 107.718696882 32379.722377516 11.189554508 0.496779022 5.558735949 0.146799099 1.136629951 0.914645068
1997Q4 1506954.70634757 845123.801516242 291103.170390115 326254.839541866 476101.123456795 439938.984935759 1.040848587 1.046044013 1.046324417 1.027675755 1.025013509 1.028057506 0.931595719 1568511.67653935 746262.372838166 657610.180638191 164639.123062994 1403872.55347636 102.19257771 102.039569688 103.193424933 73.136666667 75.363333333 54.826666667 92.46 0.021804627 -0.00097334 149832.355640424 133612.22929085 16220.126349574 0.108255165 111728.81295824 4.433333 5.6 36.411463569 18.7167 98.798743343 1.029193781 1.121443931 108.465533294 32711.85418288 11.278568693 0.495212212 5.585284946 0.145626015 1.081371664 0.890150698
